amenity,lat,lon,name,category,amnt_id
ice_cream,49.312233,-123.07996,Earnest Ice Cream,Food,675
ice_cream,49.279587,-123.074936,Earnest Ice Cream,Food,676
restaurant,49.24945,-123.08988,Nammos Estiatorio,Food,677
restaurant,49.249866,-123.08987,Good Sushi,Food,678
restaurant,49.249763,-123.089874,Penang Bistro,Food,679
restaurant,49.249653,-123.08988,Royal Fortune Szechuan Restaurant,Food,680
fast_food,49.248497,-123.08994,Subway,Food,681
restaurant,49.247738,-123.09037,Yummy Fat's,Food,682
cafe,49.247456,-123.090004,Prado Cafe,Food,683
cafe,49.246693,-123.090355,JJ Bean Coffee Roasters,Food,684
library,49.28098,-123.08886,Vancouver Public Library - nə́c̓aʔmat ct Strathcona Branch,Leisure,685
cafe,49.288258,-123.140594,Delanys Coffee,Food,686
restaurant,49.288345,-123.14046,Fatburger,Food,687
restaurant,49.288544,-123.140144,Akira,Food,688
cafe,49.288937,-123.13953,Cacao 70,Food,689
bank,49.288834,-123.1392,HSBC,Business,690
fast_food,49.288944,-123.139015,Burger King,Food,691
cafe,49.232735,-123.02374,iGame Arena,Food,692
restaurant,49.232178,-123.030106,Sing Kee Restaurant,Food,693
cafe,49.232048,-123.026276,Sugar Loop by Westcoast Darts Cafe,Food,694
restaurant,49.23206,-123.02608,Icy Bar,Food,695
bank,49.26349,-123.11524,RBC,Business,696
fast_food,49.206074,-123.12551,McDonald's,Food,697
restaurant,49.23022,-123.09083,Angel Cafe,Food,698
bank,49.230495,-123.09081,Khalsa Credit Union,Business,699
cafe,49.232197,-123.09039,Boba Monster,Food,700
cafe,49.232258,-123.09039,Green Leaf Bubble Tea,Food,701
restaurant,49.225258,-123.090385,Sushi Moon,Food,702
cafe,49.22515,-123.09047,Starbucks,Food,703
restaurant,49.224846,-123.09098,Shoom Restaurant,Food,704
restaurant,49.22466,-123.09098,Yu Xiang Yuan Restaurant,Food,705
restaurant,49.226204,-123.090546,Samurai Sushi on Fraser,Food,706
