id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN WITH TWO DECKS,Downtown Eastside,49.28241,-123.10381,Entire home/apt,349.0,1
497641,Spacious Blue Room in Large House,Fairview,49.2589,-123.12998,Private room,100.0,30
498112,Central Modern House with View and 2 Kitchens,Kensington-Cedar Cottage,49.24937,-123.07303,Entire home/apt,376.0,5
523272,Adorable 2 Bedroom Cambie Craftsman - Garden Suite,South Cambie,49.25529,-123.11692,Entire home/apt,235.0,2
540348,Modern Architectural lakeside Home On The Park,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,275.0,1
557357,Commercial Dr West Coast Garden Ste,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,80.0,30
622217,Sub-Penthouse with Amazing Views in Heart of City,Downtown,49.27801,-123.10715,Entire home/apt,551.0,2
637617,Commercial Drive Character Home,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,300.0,6
648026,Quiet Oasis Garden Suite - Steps from the Drive,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,80.0,30
648278,"Furnished ,spacious rooms, near VGH",Fairview,49.25903,-123.13166,Private room,110.0,30
654744,English Bay Hideaway @ Stanley Park,West End,49.29178,-123.14175,Entire home/apt,165.0,30
654763,1 Bedroom Private Furnished Suite,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,77.0,30
670259,Cozy room in 100 year old home,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,61.0,30
685239,Sunny Side Up- tiny home,Hastings-Sunrise,49.27484,-123.03704,Entire home/apt,125.0,6
688038,Vancouver's Beach At Your Doorstep,West End,49.27911,-123.13774,Entire home/apt,295.0,2
688828,3 bedroom family home in amazing location,Kitsilano,49.27063,-123.17998,Entire home/apt,259.0,3
703179,Cute room in a condo full of art,Downtown Eastside,49.28115,-123.10778,Private room,85.0,1
713271,Luxury Seaview Studio Suite - Westend,West End,49.28081,-123.13615,Entire home/apt,135.0,30
732895,Best Location in Downtown - Bright Beautiful 1bdr,Downtown,49.28195,-123.12383,Entire home/apt,138.0,30
735468,ENGLISH BAY VIEWS,West End,49.2827,-123.13595,Entire home/apt,151.0,1
736244,Kitsilano Garden Suite West,Kitsilano,49.26728,-123.18513,Entire home/apt,149.0,4
755558,Kitsilano 2 bdrm Garden Level Suite,Kitsilano,49.25938,-123.16551,Entire home/apt,125.0,2
763445,Very Convenient Mini-suite,Renfrew-Collingwood,49.24628,-123.04341,Entire home/apt,41.0,3
766540,BEAUTIFUL SHAUNGHNESSY MANSION,Shaughnessy,49.25201,-123.12965,Private room,80.0,5
784153,The Garden Quarter in Kitsilano,Kitsilano,49.26242,-123.1737,Entire home/apt,66.0,30
785297,The Nook in Kitsilano,Kitsilano,49.26364,-123.17482,Private room,46.0,14
801222,fully furnished suite near VGH,Fairview,49.25848,-123.12257,Entire home/apt,106.0,30
838336,"3 BEDROOM, 3 LEVEL TOWNHOUSE",Mount Pleasant,49.25788,-123.10925,Entire home/apt,421.0,5
874731,Sunny room with private bathroom and large patio,Fairview,49.25728,-123.12122,Private room,69.0,4
875309,Heritage Home near Kits Beach,Kitsilano,49.26965,-123.16351,Entire home/apt,275.0,7
885600,"Dunbar near UBC, modern + clean",Dunbar Southlands,49.24721,-123.18622,Entire home/apt,130.0,3
906964,"Amazing, modern, clean apt just off Commercial Dr",Grandview-Woodland,49.27213,-123.0698,Entire home/apt,118.0,1
941216,Beautiful Downtown Luxury Rental,Downtown,49.28038,-123.10612,Entire home/apt,95.0,30
966003,Downtown Van Waterview 20th Floor Condo,Downtown,49.2803,-123.10788,Entire home/apt,150.0,3
980511,"\"261 Yaletown Studio at \"\"Space\"\"\"",Downtown,49.2764,-123.12547,Entire home/apt,70.0,30
994900,Explore Vancouver from a Charming Heritage House,Downtown Eastside,49.27888,-123.08514,Entire home/apt,106.0,3
1012385,comfy stay in clean victorian house,Mount Pleasant,49.25825,-123.08901,Entire home/apt,80.0,2
1021607,Deluxe Junior One Bedroom (2 Beds),Downtown,49.27826,-123.12085,Entire home/apt,60.0,30
1021669,Yaletown Deluxe Studio Condominium,Downtown,49.2787,-123.12732,Entire home/apt,58.0,30
1030205,Beautiful Point Grey Character Home,Kitsilano,49.26984,-123.1812,Entire home/apt,249.0,7
1032892,Artist's Character home in 'hip' Commercial Drive,Grandview-Woodland,49.27093,-123.06289,Private room,94.0,2
